Subzone,Total,Below 20 Years,20 to 49 Years,50 to 64 Years,65 Years & Above
MACKENZIE,130,10,90,30,0
MACPHERSON,26880,3850,10190,6430,6410
MALCOLM,3230,870,1160,610,590
MANDAI EAST,0,0,0,0,0
MANDAI ESTATE,2120,390,900,510,320
MANDAI WEST,0,0,0,0,0
MARGARET DRIVE,24160,4440,10560,4530,4630
MARINA CENTRE,0,0,0,0,0
MARINA EAST,0,0,0,0,0
MARINA EAST (MP),0,0,0,0,0
MARINA SOUTH,0,0,0,0,0
MARINE PARADE,27150,5000,9830,6000,6320
MARITIME SQUARE,4840,1110,2040,1050,640
MARYMOUNT,28810,5130,11470,6560,5650
MATILDA,52990,14780,25760,7910,4540
MAXWELL,0,0,0,0,0
MEI CHIN,16490,2480,6440,3880,3690
MIDVIEW,34390,6460,15380,8290,4260
MONK'S HILL,1190,270,510,260,150
MOULMEIN,11240,3080,4960,1970,1230
MOUNT EMILY,2090,410,1160,350,170
MOUNT PLEASANT,740,150,250,170,170
MOUNTBATTEN,10130,2080,3950,2220,1880
MURAI,600,120,350,100,30
NASSIM,10600,2620,4140,2160,1680
NATIONAL UNIVERSITY OF S'PORE,290,60,190,40,0
NATURE RESERVE,4010,800,1540,1010,660
NEE SOON,1050,200,410,300,140
NEWTON CIRCUS,310,80,130,70,30
NICOLL,310,30,180,70,30
NORTH COAST,11450,1460,4370,3040,2580
NORTH-EASTERN ISLANDS,0,0,0,0,0
NORTHLAND,27100,4310,10920,6560,5310
NORTHSHORE,18440,4610,9210,2780,1840
ONE NORTH,1020,270,470,220,60
ONE TREE HILL,2330,440,880,570,440
ORANGE GROVE,2100,410,740,530,420
OXLEY,1650,330,700,330,290
PANDAN,0,0,0,0,0
PANG SUA,0,0,0,0,0
PARK,0,0,0,0,0
PASIR PANJANG 1,4760,900,2040,1070,750
PASIR PANJANG 2,3540,640,1480,750,670
PASIR RIS CENTRAL,31760,6180,13810,7540,4230
PASIR RIS DRIVE,51690,8270,21030,13410,8980
PASIR RIS PARK,7880,1960,3650,1730,540
PASIR RIS WAFER FAB PARK,0,0,0,0,0
PASIR RIS WEST,34940,6260,14780,9280,4620
PATERSON,350,80,150,90,30
PAYA LEBAR EAST,0,0,0,0,0
PAYA LEBAR NORTH,0,0,0,0,0
PAYA LEBAR WEST,0,0,0,0,0
PEARL'S HILL,5110,510,1310,1280,2010
PEI CHUN,9950,1300,3420,2570,2660
PENG SIANG,33880,6470,14690,7650,5070
PENJURU CRESCENT,0,0,0,0,0
PEOPLE'S PARK,300,0,180,40,80
PHILLIP,0,0,0,0,0
PIONEER SECTOR,0,0,0,0,0
PLAB,0,0,0,0,0
PLANTATION,7700,1660,4490,930,620
PORT,120,20,60,10,30
POTONG PASIR,12940,1830,5130,2560,3420
PULAU PUNGGOL BARAT,0,0,0,0,0
PULAU PUNGGOL TIMOR,0,0,0,0,0
PULAU SELETAR,0,0,0,0,0
PUNGGOL CANAL,0,0,0,0,0
PUNGGOL FIELD,48560,11720,20540,10240,6060
PUNGGOL TOWN CENTRE,25240,7320,12730,3430,1760
QUEENSWAY,260,30,120,70,40
RAFFLES PLACE,0,0,0,0,0
REDHILL,10960,2210,4550,2350,1850
RESERVOIR VIEW,0,0,0,0,0
RIDOUT,1530,330,550,320,330
RIVERVALE,62660,12220,26540,14410,9490
ROBERTSON QUAY,4120,1000,1920,850,350
ROCHOR CANAL,0,0,0,0,0
SAFTI,0,0,0,0,0
SAMULUN,0,0,0,0,0
SAUJANA,25000,5470,10880,5120,3530
SELEGIE,0,0,0,0,0
SELETAR,280,50,100,110,20
SELETAR AEROSPACE PARK,0,0,0,0,0
SELETAR HILLS,15420,2820,5790,3560,3250
SEMAKAU,0,0,0,0,0
SEMBAWANG CENTRAL,35390,7620,15530,7850,4390
SEMBAWANG EAST,23490,6350,12210,3430,1500
SEMBAWANG HILLS,6970,1380,2510,1570,1510
SEMBAWANG NORTH,25740,5420,11210,5810,3300
SEMBAWANG SPRINGS,9570,2370,4350,1840,1010
SEMBAWANG STRAITS,2390,540,990,550,310
SENGKANG TOWN CENTRE,60520,12450,26860,12820,8390
SENGKANG WEST,0,0,0,0,0
SENJA,23820,5100,10390,4690,3640
SENNETT,16600,4220,8160,2030,2190
SENOKO NORTH,0,0,0,0,0
SENOKO SOUTH,0,0,0,0,0
SENOKO WEST,0,0,0,0,0
SENTOSA,2470,590,950,690,240
SERANGOON CENTRAL,22600,2870,8780,4940,6010
SERANGOON GARDEN,37460,5970,14160,7870,9460
SERANGOON NORTH,15220,2410,6190,3680,2940
SERANGOON NORTH IND ESTATE,0,0,0,0,0
SHANGRI-LA,17460,2880,6350,3880,4350
SHIPYARD,0,0,0,0,0
SIGLAP,7390,1180,2790,1570,1850
SIMEI,38490,6580,15390,8980,7540
SIMPANG NORTH,0,0,0,0,0
SIMPANG SOUTH,0,0,0,0,0
SINGAPORE GENERAL HOSPITAL,0,0,0,0,0
SINGAPORE POLYTECHNIC,160,50,80,30,0
SOMERSET,200,30,90,50,30
SOUTHERN GROUP,0,0,0,0,0
SPRINGLEAF,4380,740,1650,1050,940
STRAITS VIEW,0,0,0,0,0
SUDONG,0,0,0,0,0
SUNGEI ROAD,1900,300,650,420,530
SUNSET WAY,5490,850,1920,1220,1500
SWISS CLUB,6120,1510,2390,1180,1040
TAGORE,7960,1350,2880,1850,1880
TAI SENG,12970,2050,4770,2980,3170
TAMAN JURONG,39010,7960,16550,8660,5840
TAMPINES EAST,128250,21720,51580,28930,26020
TAMPINES NORTH,32840,9690,18180,2800,2170
TAMPINES WEST,83270,15910,35380,17160,14820
TANGLIN,590,120,240,150,80
TANGLIN HALT,5860,1020,2540,1030,1270
TANJONG IRAU,0,0,0,0,0
TANJONG PAGAR,930,80,580,180,90
TANJONG RHU,11470,2170,4490,2900,1910
TEBAN GARDENS,17500,2840,6700,3870,4090
TECK WHYE,24570,3670,9800,6070,5030
TELOK BLANGAH DRIVE,19100,3380,7780,3720,4220
TELOK BLANGAH RISE,11540,1450,3930,2480,3680
TELOK BLANGAH WAY,8350,1070,2760,2050,2470
TENGAH INDUSTRIAL ESTATE,0,0,0,0,0
TENGEH,0,0,0,0,0
THE WHARVES,0,0,0,0,0
TIONG BAHRU,12140,2000,5100,2360,2680
TIONG BAHRU STATION,14570,2460,5800,3220,3090
TOA PAYOH CENTRAL,27450,4760,10710,6150,5830
TOA PAYOH WEST,13980,1970,5100,3180,3730
TOH GUAN,13830,1980,5640,3350,2860
TOH TUCK,0,0,0,0,0
TOWNSVILLE,20010,2830,7330,4330,5520
TRAFALGAR,49100,8700,19920,11730,8750
TUAS BAY,0,0,0,0,0
TUAS NORTH,0,0,0,0,0
TUAS PROMENADE,0,0,0,0,0
TUAS VIEW,0,0,0,0,0
TUAS VIEW EXTENSION,0,0,0,0,0
TUKANG,0,0,0,0,0
TURF CLUB,690,100,250,160,180
TYERSALL,4230,930,1620,920,760
ULU PANDAN,11300,2450,3990,2460,2400
UPPER PAYA LEBAR,18430,3230,8030,3550,3620
UPPER THOMSON,31700,5940,12230,6580,6950
VICTORIA,1730,150,630,380,570
WATERWAY EAST,54280,15250,26100,8260,4670
WENYA,8210,2010,3580,1560,1060
WEST COAST,10130,2760,4490,1810,1070
WOODGROVE,32690,5330,14310,8350,4700
WOODLANDS EAST,99870,21100,44840,22770,11160
WOODLANDS REGIONAL CENTRE,0,0,0,0,0
WOODLANDS SOUTH,40160,9000,18140,8620,4400
WOODLANDS WEST,36560,6630,15270,8300,6360
WOODLEIGH,3440,720,1570,690,460
XILIN,1760,260,710,470,320
YEW TEE,39620,7310,16940,10050,5320
YIO CHU KANG,0,0,0,0,0
YIO CHU KANG EAST,4380,830,1670,950,930
YIO CHU KANG NORTH,0,0,0,0,0
YIO CHU KANG WEST,23580,3800,8730,5520,5530
YISHUN CENTRAL,2890,520,1310,640,420
YISHUN EAST,71920,16690,33020,13400,8810
YISHUN SOUTH,41520,7230,17320,9260,7710
YISHUN WEST,51760,7730,20360,12820,10850
YUHUA EAST,23530,3250,8850,5270,6160
YUHUA WEST,18550,2870,7110,4320,4250
YUNNAN,66580,11770,28380,15730,10700
